Index,llm_difficulty
0,0.5969458417127406
1,0.29420812286021025
2,0.7241564523416155
3,0.6619966785765932
4,0.7410855870167359
5,0.5868679656060396
6,0.8237386476519656
7,0.5204701255282753
8,0.912349751239797
9,0.7994410977496791
10,0.6724555394735205
11,0.8989994428112369
12,0.70813397118248
13,0.7380759548947305
14,0.8362349581199727
15,0.8625500025622949
16,0.2493239584417115
17,0.8740757007612566
18,0.9000340229651033
19,0.8064788451532443
20,0.5101931973046798
21,0.8487189684678345
22,0.8624537843237553
23,0.7135423204694148
24,0.7865244465024179
25,0.7747997413960902
26,0.693763072616461
27,0.4527640554825767
28,0.8114369146310975
29,0.541121896653424
30,0.7446447805686455
31,0.5581270075680251
32,0.5385857785376207
33,0.7017558513849044
34,0.767077145710212
35,0.12041173953404982
36,0.8003412292781875
37,0.7929592003030342
38,0.8632932087758887
39,0.7967980282343134
40,0.6905372714045981
41,0.8631991880864514
42,0.7805287687300051
43,0.5732513293173183
44,0.5978524779807755
45,0.8690289549504037
46,0.8077151452759854
47,0.673045721567106
48,0.6009559056337288
49,0.5023106230902559
50,0.6795235590402029
51,0.6649477610305297
52,0.6836407728972522
53,0.8488864788268411
54,0.8262902576448716
55,0.6285199757596035
56,0.902515769495677
57,0.5136270769185843
58,0.8111475970228306
59,0.6569807229721023
60,0.8533664149024229
61,0.9382148632022825
62,0.6601545675315457
63,0.8005411430180916
64,0.8706508181932509
65,0.32474270938328764
66,0.6150019137589476
67,0.5557998478099729
68,0.670436384680639
69,0.8096792777293489
70,0.8292783241102286
71,0.7441554571839842
72,0.7418603046814032
73,0.7988685144581917
74,0.6095983981899811
75,0.7667216514141347
76,0.6661415992032299
77,0.37555246723690483
78,0.7190047954399612
79,0.46585378961675894
80,0.7519983507162064
81,0.30983921467388753
82,0.8223719119355887
83,0.7695515746722437
84,0.538143994833382
85,0.64442155176996
86,0.606491847585092
87,0.7949990276056348
88,0.8500339991213814
89,0.7775986126419683
90,0.41999401183622787
91,0.5672227186095856
92,0.8030249712242262
93,0.6192319460920643
94,0.36696622969718307
95,0.8290571062983905
96,0.8202930077812849
97,0.3028188149331026
98,0.5944852889915428
99,0.8220482167853189
100,0.8290049687405714
101,0.6436352340177045
102,0.5065171058012568
103,0.7342768574333419
104,0.7500492540713326
105,0.8671291770483509
106,0.7501424063091091
107,0.8356205646618317
108,0.5021635714675212
109,0.8039365648087505
110,0.8905090072498436
111,0.3565921780585204
112,0.6707866386395775
113,0.6367425519196005
114,0.26513894138506766
115,0.2109339178822729
116,0.4900524638643401
117,0.46858198838673815
118,0.926811339731127
119,0.9009412702776702
120,0.5452195744166737
121,0.6620686608154989
122,0.6745713234645094
123,0.8093797818491723
124,0.8748143768635065
125,0.8082909556794002
126,0.840222791630526
127,0.3070333592631568
128,0.6714754157367722
129,0.6190199672802535
130,0.724090605405526
131,0.6183613217381543
132,0.8109763285660171
133,0.7831048295428147
134,0.7484035331302179
135,0.7091398673359444
136,0.7510750523102826
137,0.6504667396116984
138,0.4217199156531076
139,0.4097330410655353
140,0.7107055896974788
